VariableName,VariableCode,Type_Of_Variable,Unit_Of_Measure,Scaling_Factor,Aggregation_Type,Weighing_Varible_ID,Weighing_Variable_Name,Long_Description
Country,Country,Key Identifier,,0,,,,Country
State lgd code,StateCode,Key Identifier,,0,,,,State LGD Code
State,StateName,Key Identifier,,0,,,,State
YearCode,YearCode,Key Identifier,"",0,"","","",YearCode
Year,Year,Key Identifier,"",0,"","","",Year
Normal tax payers,I7103_5,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Normal tax payers under GST has to file minimum 3 returns monthly and one annual return, totaling 37 returns per annum having turnover of 20 lakhs per annum"
Composition tax payers,I7103_6,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,Composition tax payers where the composition tax is an alternative method of levy of tax designed for taxpayers whose turnover is up to Rs15 crore per annum
Input service distributor,I7103_7,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Input Service Distributor (ISD) where ISD is a taxpayer that receives invoices for services used by its branches It distributes the tax paid known as the Input Tax Credit (ITC), to such branches on a proportional basis by issuing ISD invoices The branches can have different GSTINs but must have the same PAN as that of ISD"
Casual tax payers,I7103_8,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Count of casual tax payer, who supplies taxable goods or services occasionally in a taxable territory where he does not have a fixed place of business and does aggregate turnover upto 20 lakhs"
Tax collected at source,I7103_9,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Tax collector at source where Tax Collected at Source under GST means the tax collected by an e-commerce operator from the consideration received by it on behalf of the supplier of goods, or services who makes supplies through the operator’s online platform"
Tax deducted at source,I7103_10,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Tax deductor at source (TDS) where TDS is a specific amount that is reduced when a certain payment like salary, commission, rent, interest, professional fees, etc is made The person who makes the payment deducts tax at the source, while the person who receives a payment/income has the liability to pay tax"
Non resident taxpayers,I7103_11,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Non Resident taxpayers as any person who occasionally undertakes transactions involving the supply of goods or services, or both, whether as principal or agent or in any other capacity, but who has no fixed place of business or residence in India"
Online information and database access or retrieval services from a place outside india to a non-taxable online recipient,I7103_12,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Online information and database access or retrieval services from a place outside India to a non-taxable online recipient referred to in section 14 of the Integrated Goods and Services Tax Act, 2017 (13 of 2017) who is liable to be registered under sub-section (1) of section 25 and every person seeking registration under sub-section (3) of section 25 (hereafter in this Chapter referred to as “the applicant”) shall, before applying for registration, declare his Permanent Account Number, mobile number, e-mail address, State or Union territory in Part A of FORM GST REG-01 on the common portal, either directly or through a Facilitation Centre notified by the Commissioner"
Unique identification number (uin) holders,I7103_13,Numeric Variable,Number,1,sum,WeighingRatio_TotalPopulation,Total Population from Census,"Unique Identification Number (UIN) holder, where UIN stands for Unique Identification Number, a special class of GST registration for foreign diplomatic missions and embassies that are not liable to taxes in the Indian territory Any amount of tax (direct or indirect) collected from such bodies is refunded back to them"
